sgRNA	Gene	Day0	Day23
s_15584	DEFB127	611.113864193	539.506201599
s_43824	PRAMEF11	994.962963945	1149.10209776
s_2647	ANKS1B	1090.65339108	837.387403507
s_40914	PDE1B	1498.42509761	1499.5505706
s_43592	PPP1R27	437.131269405	413.160304814
s_25036	HEL	504.549524886	392.871182703
s_9206	CASP1	1203.74207769	1445.13883403
s_2922	APCS	1775.70985806	1835.24331826
s_39965	PABPC1	2209.57895381	726.719464718
s_52941	SNX2	1379.89945491	1363.98234558
s_22266	GAS2L2	827.504716461	828.165075275
s_9084	CAPZA1	288.158672618	103.290076204
s_61688	WDR2	462.141267406	557.950858064
s_3783	ART	881.874277333	965.577765938
s_61739	WDR44	3066.44323314	2724.27575987
s_11580	CHCHD7	2903.33455053	2228.11450096
s_35732	MYO1D	454.529528884	432.527194102
s_22842	GIPC2	394.723011926	292.347804969
s_51807	SLC37A3	2347.67763842	2782.37642773
s_6256	C11orf84	876.437321245	987.711353696
s_53080	SORCS3	371.88779636	495.239026083
s_23464	GOT1L1	1982.31418937	2137.73568428
s_5522	BMP15	557.83169454	367.048663652
s_32473	MAMDC4	424.082574796	388.260018586
s_10168	CCSA	3398.09755446	3157.72518679
s_52872	SNUP	1156.98425534	183.524331826
s_57273	TMEM160	658.95907776	783.897899759
s_15895	DHX15	1292.90815752	521.061545134
s_52806	SNRNP2	574.142562801	221.335877579
s_12562	CMTM7	1669.14551875	1657.25238337
s_46624	RCN3	701.36733524	562.56202218
s_25144	HES5	973.215139596	985.86688805
s_43434	PPIL6	1768.09811953	1466.35018896
s_2415	ANKDD1A	700.279944022	545.961831361
s_32889	MARS2	2410.74632903	724.874999071
s_25806	HOPX	714.416029849	576.395514528
s_48322	RPS4Y1	1268.98555074	1571.48473081
s_32859	Mar-09	470.840397145	420.5381674
s_5544	BMP6	644.822991934	707.352575429
s_24289	GSK3B	1335.316415	1071.63454061
s_39355	OR5B12	692.6682055	568.095419119
s_40355	PAS	1730.03942692	1974.50047457
s_49913	SERGEF	691.580814283	590.229006877
s_30976	LHX3	2327.01720529	2533.37356546
s_3485	ARID2	663.30864263	1015.37833839
s_63884	ZNF43	676.357337239	512.761449725
s_36002	NAGK	384.936490969	467.572041386
s_11069	CEACAM21	1044.98295995	772.83110588
s_11094	CEBPB	1300.51989604	1062.41221238
s_42000	PIM1	449.092572797	352.29293848
s_29767	KLHL2	440.393443058	456.505247507
s_33759	MFSD4	867.738191506	948.055342296
s_39251	OR51B6	1609.33900179	1638.80772691
s_17791	EIF2S	487.151265407	72.8563930364
s_42211	PKP	1414.69597387	1322.48186853
s_40028	PAE	1111.31382421	944.366411003
s_3780	ART4	845.990367157	726.719464718
s_20078	FAM65	732.901680545	765.453243294
s_20857	FGB	655.696904108	503.539121492
s_55984	TDRD	887.31123342	727.641697541
s_15481	DDX	915.583405073	490.627861967
s_16327	DNAH5	404.509532882	263.758587448
s_53814	SRCRB4D	1087.39121743	1076.24570473
s_8155	C6orf201	523.035175582	426.071564339
s_26258	HSPA12B	1075.42991403	1004.31154451
s_25183	HEY2	664.396033847	787.586831052
s_15888	DHTKD1	751.387331241	604.062499226
s_61952	WFDC6	842.728193505	783.897899759
s_34750	MRPL43	4275.62226692	4367.69465089
s_49230	SCG3	1051.50730725	1525.37308965
s_37982	NRXN1	392.548229491	385.493320117
s_264	ABCG5	299.032584792	313.559159903
s_55238	TAF1	209.866504963	65.4785304504
s_21874	FZD	1515.82335709	1317.87070442
s_10889	CDK4	1632.17421736	1699.67509324
s_33669	MEX3A	417.558227492	334.770514838
s_27444	INA	482.801700537	281.28101109
s_26440	HUS	294.683019922	127.268129608
s_55708	TBX20	729.639506893	958.199903352
s_46157	RASA3	1222.22772839	1546.58444458
s_8924	CAMK	499.112568799	572.706583236
s_27443	INA	493.675612711	765.453243294
s_64461	ZNF68	891.660798289	652.940838858
s_39933	P2RY	1063.46861064	1066.10114367
s_6043	C10orf111	367.53823149	477.716602441
s_64713	ZNF804B	511.07387219	681.530056378
s_40210	PAPPA2	1571.28030918	2022.45658138
s_43463	PPM1E	1604.98943692	1924.69990211
s_22009	GABRG3	811.1938482	829.087308098
s_5809	BRSK2	1563.66857066	1151.86879623
s_29730	KLHL17	819.892977939	793.120227991
s_52459	SMAD	839.466019853	967.422231585
s_36889	NFKBIB	581.754301323	581.006678645
s_14138	CTDSPL	631.774297325	717.497136485
s_18741	ESPL	912.32123142	1111.29055201
s_4938	BAK	636.123862194	623.429388514
s_15703	DERL1	787.271241416	796.809159284
s_43773	PPYR	337.091277402	390.104484233
s_39517	OR8B4	704.629508892	654.785304504
s_57024	TMED4	1167.85816752	920.388357599
s_12123	CLCNKA	1814.85594188	1612.06297503
s_55826	TCF25	1839.86593988	1880.4327266
s_19784	FAM19A5	617.638211498	730.40839601
s_57906	TMPPE	300.11997601	269.291984388
s_56091	TEP1	1464.71596987	1945.91125705
s_54626	STYXL	500.199960016	558.873090887
s_17284	EBF1	515.42343706	535.817270306
s_10922	CDKAL	1313.56859065	1215.50286104
s_45590	RAB12	241.400850269	240.702766867
s_6063	C10orf120	598.065169584	477.716602441
s_11167	CELSR1	1073.2551316	1087.31249861
s_29012	KDM6A	316.430844271	427.916029986
s_35616	MYH	563.268650627	439.905056688
s_23260	GNB2L1	418.645618709	208.424618054
s_3932	ASF1B	1022.14774438	829.087308098
s_14601	CYBRD1	674.182554804	842.920800446
s_27161	IL1RAPL	2205.22938894	2944.68940462
s_35923	NAA6	2071.4802692	2196.75858497
s_56626	TIGD2	77.2047764373	44.2671755158
s_55002	SYNPO2L	1322.26772039	1126.04627718
s_15794	DGKG	1498.42509761	1981.87833715
s_35705	MYO15A	1093.91556473	1288.35925407
s_21323	FNDC1	1401.64727926	1376.89360511
s_33854	MIA	1386.42380222	1845.38787931
s_54086	ST3GAL	2012.76114346	3015.70133201
s_37076	NIPSNAP1	1012.36122342	1146.33539929
s_16546	DNM1	3034.90888784	1596.38501704
s_36075	NAPSA	976.477313249	1133.42413977
s_59091	TRIT1	1419.04553874	1809.42079921
s_52038	SLC4A7	2733.70152061	3502.64026269
s_57927	TMPRSS11E	1034.10904777	948.055342296
s_5846	BSN	379.499534882	460.1941788
s_59344	TSHZ3	498.025177581	599.45133511
s_53032	SOGA	48.9326047842	89.4565838548
s_10462	CD55	592.628213497	529.361640543
s_25330	HIPK	1302.69467848	979.411258287
s_3329	ARHGAP32	1313.56859065	1195.21373893
s_60737	UQCC	2344.41546477	2535.2180311
s_32264	LYZL	794.882979938	678.763357909
s_18331	ENTPD7	1547.3577024	1587.16268881
s_18736	ESM1	988.43861664	1058.72328109
s_53252	SPAG17	643.735600716	748.853052475
s_57923	TMPRSS11D	650.259948021	799.575857754
s_60699	UPF	116.350860265	58.1006678645
