sgRNA	Gene	Day0	Day23
s_10127	CCR1	1315.74337309	1350.14885323
s_35333	MTRR	1061.29382821	803.264789047
s_3195	ARF4	1703.94203771	2016.00095161
s_63158	ZIC	1471.24031718	1603.76287962
s_48138	RPL22L1	413.208662622	412.238071991
s_60928	USP4	2868.53803157	3051.66841212
s_17756	EIF2B3	789.446023851	407.626907875
s_25516	HLA-DQA	1778.97203171	2198.60305062
s_47898	RP11-1280I22.1	529.559522886	523.828243603
s_12390	CLOC	724.202550806	758.075380708
s_55351	TAOK1	1016.71078829	1049.50095285
s_32307	MACROD1	469.753005928	414.082537637
s_38721	OLFM4	843.815584723	704.58587696
s_45903	RAD51B	967.778183509	698.130247197
s_1270	ADIPOR	431.694313318	540.428434422
s_55740	TC2	815.54341307	878.887880553
s_60464	UGT1A9	5585.92868392	5637.6092485
s_30320	KRTCAP2	611.113864193	401.171278112
s_46466	RBM42	422.995183579	163.235209714
s_56209	TF	645.910383151	432.527194102
s_30418	LAMA3	2159.55895781	1877.66602813
s_51518	SLC26A6	871.000365158	1005.23377734
s_64583	ZNF746	2842.44064235	2520.46230593
s_51906	SLC39A9	955.816880118	1214.58062821
s_30701	LCT	1092.82817351	1165.70228858
s_35103	MST4	1105.87686812	1450.67223097
s_29137	KIAA0408	427.344748448	609.595896165
s_11888	CHST3	346.877798359	249.002862276
s_49528	SDHAF2	1018.88557073	1513.38406295
s_49027	SAP30L	2806.55673218	2316.64885199
s_34478	MPHOSPH6	455.616920102	408.549140698
s_14029	CSTF1	189.206071832	14.7557251719
s_13697	CRNN	438.218660623	678.763357909
s_46035	RANBP3L	1671.32030118	1411.93845239
s_34528	MPP	3223.02756845	3288.68224769
s_36624	NEDD4L	3142.56061836	3622.53052971
s_8091	C5orf63	1014.53600586	1331.70419677
s_102	AATK	2659.75891782	1769.76478781
s_17252	E2F6	222.915199572	388.260018586
s_11480	CFI	438.218660623	400.249045289
s_44544	PRSS5	324.042582793	179.835400533
s_4570	ATR	617.638211498	399.326812465
s_60169	UBE2H	3839.57838873	3302.51574004
s_7016	C1QL1	994.962963945	734.097327303
s_27987	ITGA1	814.456021852	559.79532371
s_48816	S100A1	511.07387219	629.885018277
s_20667	FCAR	2682.59413339	3084.86879376
s_55359	TAP1	763.348634633	667.69656403
s_63127	ZG16B	292.508237488	348.604007187
s_9535	CCDC132	1471.24031718	1964.35591351
s_53357	SPATA25	890.573407072	916.699426306
s_11166	CELSR1	443.65561671	599.45133511
s_6200	C11orf49	4344.12791362	5450.39598538
s_38658	OGDHL	361.013884185	505.383587139
s_58494	TPB	733.989071763	858.598758442
s_13393	CPOX	409.94648897	340.303911778
s_58999	TRIM6	873.175147593	782.975666935
s_8781	CADM1	2423.79502364	2631.13024472
s_59657	TTF1	425.169966014	297.881201908
s_38218	NUDC	250.099980008	251.769560746
s_33588	METTL1	2449.89241286	2660.64169506
s_50871	SKI	770.960373155	705.508109783
s_43801	PRADC1	1140.67338708	986.789120873
s_1473	AGBL	1224.40251082	1069.79007496
s_42984	POLDIP3	831.854281331	803.264789047
s_23164	GML	760.086460981	672.307728146
s_46395	RBM15B	358.839101751	346.75954154
s_16206	DMAP	563.268650627	220.413644756
s_31326	LONRF1	1697.4176904	1870.28816554
s_56703	TIMP4	694.842987935	743.319655536
s_42263	PLA2G2F	886.223842202	790.353529521
s_51865	SLC39A13	1442.96814552	1435.91650579
s_30588	LBP	815.54341307	576.395514528
s_24394	GTF2E1	1156.98425534	1403.63835698
s_62002	WIPF3	482.801700537	333.848282015
s_35151	MTBP	560.006476974	156.779579952
s_53195	SP2	1710.46638501	2247.48139025
s_29300	KIAA1468	984.089051771	1013.53387275
s_21880	FZD4	1701.76725527	2057.50142866
s_8670	CACFD1	2720.652826	1856.45467319
s_23026	GLP2R	362.101275403	302.492366025
s_51849	SLC39A	369.713013925	165.079675361
s_24549	GYG1	1062.38121943	1179.53578093
s_3440	ARHGEF3	1162.42121143	1843.54341367
s_15645	DENND2C	1397.29771439	1597.30724986
s_14103	CTCF	3122.98757645	1968.96707763
s_31435	LPL	1534.30900779	1355.68225017
s_39176	OR4C3	486.063874189	490.627861967
s_3862	ASB17	566.530824279	517.372613841
s_19036	EXT2	2372.68763642	2159.86927204
s_32578	MAP1LC3A	407.771706535	485.094465027
s_5173	BCL2L1	652.434730456	653.863071681
s_28718	KCNK1	1581.06683014	1775.29818475
s_28547	KCNAB3	1117.83817151	1476.49475002
s_48463	RRNAD1	632.861688542	508.150285608
s_7294	C1orf38	921.02036116	1042.12309027
s_36291	NCL	484.976482972	253.614026393
s_14498	CXorf40	1358.15163057	1710.74188712
s_51599	SLC2A4RG	1252.67468247	1530.90648659
s_29305	KIAA1524	217.478243485	68.2452289202
s_63022	ZFP37	937.331229421	794.042460814
s_32735	MAPK14	4831.27917902	3525.69608327
s_34907	MRR	1969.26549476	1290.20371972
s_19349	FAM122A	304.469540879	418.693701753
s_30786	LEMD	3715.61578994	4435.01764699
s_39126	OR2T4	568.705606714	655.707537328
s_20020	FAM54	951.467315248	1399.02719286
s_55373	TAPBPL	637.211253412	506.305819962
s_19202	FA	1102.61469447	1513.38406295
s_58417	TOX2	955.816880118	721.186067778
s_44268	PROM	1472.32770839	1615.75190633
s_43589	PPP1R21	2619.52544278	2960.36736262
s_57458	TMEM206	1323.35511161	1465.42795614
s_39757	OTOP1	639.386035847	652.018606035
s_34615	MRGPRX1	262.0612834	201.046755468
s_22598	GEMIN6	807.931674548	233.324904281
s_59792	TUBA8	708.979073762	1032.90076204
s_7770	C2orf89	1843.12811354	1747.63120005
s_47914	RP11-178D12.1	134.836510961	108.823473143
s_8706	CACNA1S	1081.95426134	1167.54675423
s_21159	FKBP7	1207.00425134	1488.48377672
s_60720	UPK3	889.486015855	630.8072511
s_5336	BEST3	581.754301323	646.485209095
s_20614	FBXO7	877.524712463	1023.6784338
s_56590	TIA1	427.344748448	495.239026083
s_54260	STARD	753.562113676	964.655533115
s_20327	FAS	1060.20643699	1216.42509386
s_33023	MBD5	362.101275403	434.371659749
s_29023	KDR	585.016474975	587.462308407
s_5405	BICC1	869.912973941	1092.84589555
s_56570	THTP	1149.37251682	770.06440741
s_35835	MYPOP	190.29346305	608.673663342
s_59762	TUB	1423.39510361	1733.7977077
s_38727	OLFML2A	589.366039845	544.117365715
s_11032	CDV3	6799.45728257	8078.75953163
s_58674	TRAF	356.664319316	448.205152097
s_53523	SPICE1	1864.87593789	1879.51049377
s_14459	CXXC11	19.5730419137	24.9002862276
s_8713	CACNA2D1	874.262538811	1235.79198315
s_51787	SLC35G5	100.039992003	157.701812775
s_26378	HTR3B	1149.37251682	1261.6145022
s_12907	COL22A1	674.182554804	525.67270925
s_35571	MYD88	5043.32046642	4631.45323834
s_14402	CXCL14	579.579518888	814.331582926
s_26224	HSDL2	2978.36454453	3925.94512856
s_18058	ELP2	7057.1690011	8555.55390125
s_36712	NELL2	439.30605184	480.483300911
s_4556	ATPAF2	232.701720529	160.468511245
s_35019	MSH6	400.159968013	524.750476427
s_52064	SLC5A1	557.83169454	671.385495323
s_28162	ITPKA	281.634325313	209.346850877
s_63570	ZNF263	5493.50043044	6099.64789295
s_47145	RHAG	1398.38510561	1423.00524627
s_5290	BEAN	2306.35677216	2183.84732545
s_9515	CCDC124	673.095163587	802.342556224
s_7875	C3orf58	686.143858196	742.397422713
s_2083	ALOX1	587.19125741	600.373567933
s_18276	ENPP	1425.56988605	1551.1956087
s_37093	NKAIN1	521.947784365	486.938930674
s_58921	TRIM3	819.892977939	923.155056069
s_35851	MZF1	814.456021852	502.616888669
s_39532	OR8I2	442.568225492	476.794369618
s_42707	PLXNB	393.635620708	230.558205811
s_47647	RNF170	1153.72208169	1150.94656341
s_63969	ZNF47	2291.13329512	3154.95848832
s_16196	DLX4	543.695608713	562.56202218
s_55065	SYT1	1415.78336509	1127.89074283
s_3542	ARL15	41.3208662622	7.37786258596
s_32458	MAL	722.027768371	651.096373211
s_12981	COL6A	9087.32840403	9686.21134255
s_39591	ORC5	476.277353233	142.02385478
s_10324	CD248	1137.41121343	1279.13692584
s_54893	SYCN	531.734305321	503.539121492
s_12652	CNNM1	125.049990004	130.957060901
s_1535	AGPAT5	642.648209499	637.262880863
s_11289	CEP290	144.623031918	92.2232823246
s_30569	LATS1	480.626918102	727.641697541
s_61676	WDR20	4821.49265807	5313.90552754
s_61345	VPS13D	3162.13366028	2628.36354625
s_15570	DEFB123	844.90297594	584.695609938
s_49368	SCNM1	397.985185578	213.958014993
s_21102	FIP1L1	1997.53766641	2521.38453875
s_42684	PLXNA1	546.957782365	797.731392107
s_12198	CLDN7	1807.24420336	1781.75381451
s_13550	CREB3L2	1286.38381022	1740.25333746
s_57935	TMPRSS12	305.556932097	349.52624001
s_31920	LRWD1	929.719490899	619.740457221
s_34107	MLL4	488.238656624	391.948949879
s_40817	PCYT1	430.606922101	193.668892882
s_52151	SLC6A20	2155.20939294	2376.5939855
s_32798	MAPRE3	508.899089755	394.715648349
s_13591	CREM	2851.13977209	3096.85782046
s_63267	ZMYND19	653.522121673	447.282919274
s_4530	ATP8B2	1151.54729925	1306.80391054
s_55618	TBC	1302.69467848	1491.25047519
s_15319	DDI1	433.869095753	360.593033889
s_4818	B4GALT2	278.372151661	354.137404126
s_1159	ADCY1	867.738191506	1043.96755591
s_58096	TNFRSF19	1212.44120743	1373.20467381
s_64861	ZP	379.499534882	511.839216901
s_10180	CCT3	1693.06812553	1257.00333808
s_53120	SOWAHD	619.812993933	856.754292795
s_53232	SPACA3	1225.48990204	1553.96230717
s_43817	PRAMEF1	611.113864193	570.862117589
s_50319	SGMS1	2145.42287198	1990.17843256
s_32383	MAGEA	413.208662622	328.314885075
s_36324	NCOA	2325.92981407	2116.52432935
s_2036	ALG9	2460.76632504	3151.26955703
s_32855	MARCH	1447.31771039	1782.67604733
s_20134	FAM73B	388.198664621	201.968988291
s_27370	ILDR1	1009.09904977	998.778147575
s_63880	ZNF429	980.826878118	1022.75620098
s_39134	OR2T6	296.857802357	396.560113996
s_27224	IL22RA2	665.483425065	893.643605725
s_45586	RAB11FIP5	788.358632634	700.896945667
s_27378	ILF2	1102.61469447	1257.92557091
s_63602	ZNF28	957.991662552	970.188930054
s_45777	RAB7L	2764.1484747	2748.25381327
s_4510	ATP7A	400.159968013	463.883110093
s_58365	TOP2B	725.289942023	298.803434732
s_55016	SYNRG	3151.2597481	3078.41316399
s_28702	KCNJ	1359.23902178	1491.25047519
s_492	AC118274.1	457.791702536	426.993797163
s_24837	HCFC1R	812.281239417	663.085399914
s_18817	ETNK2	414.296053839	319.092556843
s_11319	CEP6	456.704311319	433.449426925
s_39501	OR7E24	946.030359161	1079.93463602
s_34649	MRPL13	260.973892182	247.15839663
s_48629	RTN4	6215.52819881	6431.65170931
s_39762	OTOP3	268.585630704	381.804388824
s_26959	IGSF9	1459.27901379	1651.71898643
s_17719	EIF1A	1211.35381621	243.469465337
s_63357	ZNF16	2781.54673418	3539.52957562
s_9667	CCDC25	165.283465049	208.424618054
s_52159	SLC6A	766.610808285	725.797231894
s_5352	BET3L	640.473427064	623.429388514
s_59054	TRIOBP	632.861688542	776.520037173
s_18095	EMC7	130.486946091	143.868320426
s_17271	EAF2	766.610808285	851.220895856
s_36486	NDUFAF4	1162.42121143	1273.6035289
s_42967	POLB	601.327343237	655.707537328
s_58468	TP53RK	1190.69338308	743.319655536
s_1146	ADCK	1332.05424135	1303.11497925
s_30962	LHFPL	614.376037846	655.707537328
s_8475	C9orf3	2117.15070033	2583.17413791
s_55250	TAF1C	1422.30771239	129.112595254
s_8794	CADPS	1600.63987205	1862.91030296
s_20247	FAM98C	368.625622707	412.238071991
s_2458	ANKRA2	1090.65339108	835.54293786
s_24822	HCAR2	1586.50378622	1861.98807013
s_9715	CCDC4	383.849099751	683.374522025
s_34166	MMACHC	930.806882117	785.742365405
s_30558	LAT	3453.55450655	3588.40791525
s_26979	IKBKB	4009.21141865	4410.11736076
s_32448	MA	806.84428333	915.777193483
s_49917	SERHL2	1093.91556473	978.489025464
s_21995	GABRD	841.640802288	741.475189889
s_37489	NOP16	1615.8633491	804.18702187
s_58133	TNFSF10	1709.37899379	2230.88119943
s_36351	NCS1	2652.1471793	3175.24761043
s_12637	CNKSR2	3665.59579394	3498.02909857
s_27475	ING3	1797.45768241	2761.1650728
s_53893	SRPK2	1994.27549276	1458.05009355
s_58150	TNFSF13	3511.18624107	2903.18892758
s_56763	TKTL1	852.514714462	835.54293786
s_2831	AP3D1	2123.67504763	2407.02766867
s_17097	DUSP4	820.980369157	818.942747042
s_1518	AGPAT	912.32123142	1160.16889164
s_11573	CHCHD5	855.776888114	760.842079178
s_27709	IPO4	667.6582075	797.731392107
s_4002	ASPHD	1652.83465049	1880.4327266
s_5736	BRD9	1579.97943892	1717.19751688
s_52671	SMUG	904.709492898	685.218987671
s_47962	RP11-566K11.	154.409552875	150.323950189
s_13891	CSMD2	887.31123342	1140.80200235
s_2319	ANAPC2	521.947784365	42.4227098693
s_37341	NMNAT	187.031289397	120.812499845
s_5420	BID	862.301235419	996.011449105
s_6110	C10orf5	356.664319316	286.814408029
s_50580	SHISA3	1291.8207663	1730.10877641
s_23628	GPR101	1073.2551316	1326.17079983
s_20416	FBN3	193.555636702	206.580152407
s_8430	C9orf139	1832.25420136	1294.81488384
s_34922	MRVI	904.709492898	1304.03721207
s_3202	ARFGAP1	349.052580794	365.204198005
s_45241	PTPR	1979.05201572	1968.04484481
s_49487	SDCB	3741.71317916	3799.59923177
s_60860	USP2	1460.366405	1829.70992132
s_10902	CDK5RAP2	1366.8507603	757.153147885
s_48411	RQCD	754.649504894	884.421277493
s_33428	MEF2A	6710.29120274	7949.64693638
s_8030	C5orf2	168.545638701	315.40362555
s_44333	PRPF6	399.072576795	12.9112595254
s_4684	AVPR1B	760.086460981	799.575857754
s_42167	PKI	1049.33252482	858.598758442
s_37515	NOS2	931.894273334	880.7323462
s_6586	C16orf11	473.01517958	628.962785453
s_31502	LRG1	270.760413139	219.491411932
s_2897	APBB	932.981664552	1269.91459761
s_45252	PTPRU	6315.56819081	5453.16268385
s_59919	TXLNG	1272.24772439	1417.47184933
s_1383	ADTRP	3093.62801358	2417.17222973
s_57065	TMEM10	1519.08553074	1092.84589555
s_14788	CYP4F1	991.700790293	758.075380708
s_17802	EIF3A	455.616920102	138.334923487
s_49198	SCARB2	2418.35806756	2789.75429032
s_53416	SPC25	685.056466978	771.908873057
s_38963	OR1A2	432.781704536	502.616888669
s_42130	PJA	200.079984006	145.712786073
s_61915	WEE1	806.84428333	512.761449725
s_26386	HTR3D	801.407327243	1095.61259402
s_14389	CXCL1	302.294758444	372.582060591
s_55564	TBC1D24	1902.9346305	2032.60114243
s_25950	HOXD	1125.44991004	1311.41507466
s_1315	ADORA3	3071.88018923	3404.88358342
s_30654	LCMT2	316.430844271	290.503339322
s_45128	PTPN18	1760.48638101	1609.29627656
s_57094	TMEM10	1790.9333351	1843.54341367
s_29661	KLF8	841.640802288	973.877861347
s_36057	NAP1L5	896.010363159	847.531964563
s_1282	AD	975.389922031	923.155056069
s_14645	CYP19A	442.568225492	478.638835264
s_59823	TUBD1	1190.69338308	1077.16793755
s_62151	WSB1	604.589516889	730.40839601
s_25523	HLA-DQB2	922.107752377	948.97757512
s_57119	TMEM117	606.764299324	744.241888359
s_54630	SUB	1432.09423335	1807.57633356
s_2324	ANAPC4	965.603401074	1322.48186853
s_23341	GNPAT	893.835580724	1008.00047581
s_24146	GRIP1	766.610808285	1114.05725048
s_44876	PSTPIP1	2125.84983007	2177.39169568
s_46640	RCSD1	678.532119674	921.310590422
s_57741	TMEM63C	716.590812284	1051.3454185
s_28011	ITGA4	542.608217496	488.78339632
s_23840	GPR37L1	1892.06071832	1757.77576111
s_17933	ELAVL3	1504.94944492	1179.53578093
s_7766	C2orf8	554.569520887	545.961831361
s_25995	HPDL	449.092572797	604.984732049
s_13785	CRYGC	589.366039845	559.79532371
s_30889	LGALS4	1461.45379622	1557.65123846
s_33038	MBLAC1	490.413439059	589.306774054
s_24085	GRIA	3118.63801158	3224.12595007
s_23830	GPR3	1438.61858065	1554.88453999
s_46553	RBP7	699.192552805	625.273854161
s_22297	GATA1	462.141267406	440.827289511
s_18524	EPS8L1	618.725602715	553.339693947
s_1369	ADRM1	467.578223493	500.772423022
s_42214	PKP3	862.301235419	448.205152097
s_63231	ZMYM	1379.89945491	1162.93559011
s_12920	COL27A1	1120.01295395	1367.67127687
s_63528	ZNF236	677.444728456	239.780534044
s_9499	CCDC117	368.625622707	403.015743758
s_12924	COL28A1	1050.41991603	1251.46994114
s_4285	ATP1A3	3985.28881187	4144.51430767
s_63067	ZFX	1313.56859065	975.722326994
s_20229	FAM92B	1734.38899179	1492.17270801
s_8913	CAMK2D	4055.969241	4379.68367759
s_7331	C1orf55	816.630804287	419.615934577
s_23847	GPR4	524.122566799	479.561068088
s_34058	MK	1296.17033117	1473.72805155
s_37744	NPTX2	476.277353233	437.138358218
s_58334	TOMM40	2044.29548876	2167.24713463
s_14547	CYB561D	1810.50637701	1532.75095223
s_31139	LIPF	383.849099751	805.109254693
s_52674	SMUG	1312.48119943	1014.45610557
s_9835	CCDC83	299.032584792	150.323950189
s_29802	KLHL33	615.463429063	601.295800756
s_55400	TARSL2	264.236065835	210.2690837
s_6321	C12orf44	762.261243416	650.174140388
s_23150	GMEB1	1845.30289597	1728.26431076
s_26428	HTRA4	777.48472046	754.386449415
s_18612	ERCC6L2	917.758187508	844.765266093
s_54781	SURF2	665.483425065	642.796277802
s_60755	UQCRC2	347.965189576	351.370705657
s_51469	SLC25A4	316.430844271	390.104484233
s_9586	CCDC15	483.889091755	417.77146893
s_41014	PDE6H	794.882979938	972.955628524
s_910	ACVRL1	2159.55895781	2060.26812713
s_35800	MYOG	441.480834275	475.872136795
s_30196	KRTAP10-12	380.586926099	489.705629143
s_4792	B3GNT9	272.935195574	280.358778267
s_12252	CLEC2D	1329.87945891	1034.74522768
s_37108	NKAP	158.759117744	71.0119273899
s_48971	SAMD4A	656.784295325	826.320609628
s_54370	STK11	702.454726457	533.972804659
s_44657	PSG9	695.930379153	510.916984078
s_20779	FDXR	5886.04865993	6822.67842637
s_4612	ATXN	1361.41380422	1584.39599034
s_26920	IGSF	279.459542878	173.37977077
s_30220	KRTAP13-2	1378.8120637	1716.27528406
s_224	ABCD1	845.990367157	853.065361502
s_15857	DHRS13	382.761708534	324.625953782
s_8467	C9orf24	253.36215366	326.470419429
s_18726	ESCO2	1458.19162257	1334.47089524
s_33177	MCM6	737.251245415	358.748568243
s_23057	GLRX5	550.219956018	177.068702063
s_34942	MS4A14	2964.2284587	3380.90553002
s_21956	GABPB1	1019.97296195	308.025762964
s_52835	SNRPB	590.453431062	275.74761415
s_62286	XPNPEP3	583.929083758	802.342556224
s_55146	TAAR8	988.43861664	776.520037173
s_44021	PRH	1267.89815952	1032.90076204
s_64954	ZSWIM4	942.768185508	967.422231585
s_37487	NOP1	121.787816352	34.1226144601
s_61280	VIPR1	2372.68763642	2415.32776408
s_28952	KDELR2	1290.73337508	898.254769841
s_19543	FAM165	422.995183579	226.869274518
s_4319	ATP2B1	577.404736453	643.718510625
s_32658	MAP3K7	3775.4223069	1088.23473143
s_31352	LOXL2	516.510828277	270.214217211
s_4954	BANK1	1529.95944292	1463.58349049
s_16698	DPEP3	1262.46120343	1320.63740289
s_9892	CCDC94	1723.51507962	1826.02099003
s_42118	PIWIL3	625.24995002	570.862117589
s_26228	HSF1	276.197369226	320.014789666
s_27668	IP6K	1115.66338908	1240.40314727
s_49813	SENP	580.666910106	326.470419429
s_51616	SLC2A7	247.925197573	478.638835264
s_44148	PRKD1	1284.20902778	1455.28339508
s_16760	DPP7	1028.67209169	933.299617125
s_15018	DBF4	966.690792292	676.918892262
s_54394	STK24	810.106456982	679.685590732
s_64511	ZNF	1724.60247084	1568.71803234
s_46149	RASA1	379.499534882	551.495228301
s_21998	GABRE	257.71171853	280.358778267
s_56694	TIMP1	631.774297325	634.496182393
s_10655	CDC42SE	1130.88686612	968.344464408
s_50485	SH3GLB1	2882.6741174	2566.57394709
s_30547	LARS	456.704311319	165.079675361
s_24299	GSR	4759.51135867	5009.56869587
s_15254	DCTN3	688.318640631	229.635972988
s_39214	OR4K2	371.88779636	220.413644756
s_19422	FAM134A	723.115159588	708.274808253
s_27592	INSL4	515.42343706	541.350667245
s_47996	RP3-324N14.2	989.526007858	855.832059972
s_46422	RBM24	1565.84335309	1462.66125767
s_42331	PLAG	557.83169454	597.606869463
s_11141	CELA3B	2273.73503564	2454.98377548
s_5863	BST1	1155.89686412	1067.0233765
s_43733	PPP5C	631.774297325	411.315839168
s_38229	NUDCD3	1069.99295795	889.032441609
s_55189	TACR1	1039.54600386	1035.6674605
s_28258	JAKMIP3	296.857802357	395.637881172
s_55175	TACC1	1539.74596388	1599.15171551
s_13677	CRLS1	1643.04812953	1195.21373893
s_26732	IFNE	904.709492898	657.552002974
s_8986	CAND2	1744.17551275	1810.34303203
s_16316	DNAH1	1060.20643699	1270.83683043
s_28009	ITGA4	998.225137597	723.030533425
s_8434	C9orf142	1002.57470247	700.896945667
s_51069	SLC16A12	403.422141665	284.04770956
s_32250	LYVE1	328.392147663	598.529102286
s_17858	EIF4E	1091.7407823	901.021468311
s_56858	TM2D2	797.057762373	557.02862524
s_24933	HDDC3	139.186075831	189.979961589
s_40694	PCED1A	1197.21773039	1049.50095285
s_30449	LAMC2	1164.59599386	1197.9804374
s_52778	SNED1	704.629508892	877.043414907
s_24889	HDAC11	652.434730456	795.886926461
s_3073	APOL6	289.246063835	299.725667555
s_36576	NDUFV1	1416.87075631	1167.54675423
s_8663	CABYR	1312.48119943	1254.23663961
s_3117	AQP1	5596.80259609	4954.23472648
s_59064	TRIP10	1499.51248883	1436.83873862
s_47445	RMND5	548.045173583	474.027671148
s_13715	CRTAM	1445.14292796	1188.75810916
s_29996	KPTN	868.825582723	832.776239391
s_36684	NEK5	654.60951289	558.873090887
s_53552	SPINK5	4445.25529684	4873.07823803
s_15548	DEFB113	225.089982007	273.903148504
s_61070	VAMP1	3712.35361629	4019.0906437
s_30650	LCLAT1	2067.13070433	1872.13263119
s_57612	TMEM37	585.016474975	743.319655536
s_45157	PTPN	1190.69338308	1085.46803296
s_4985	BASP1	389.286055839	743.319655536
s_40608	PCDHGA12	9544.03271535	10021.9040902
s_49702	SELE	1278.77207169	1345.53768912
s_51446	SLC25A40	215.30346105	250.847327923
s_37418	NOC4L	2455.32936895	917.621659129
s_49990	SERPINB12	706.804291327	779.286735643
s_61566	WARS2	424.082574796	423.30486587
s_17835	EIF4A1	1086.30382621	95.9122136175
s_40179	PANX3	762.261243416	956.355437706
s_60973	USP5	1311.39380822	969.266697231
s_38656	OGDHL	2251.98721129	2390.42747785
s_31394	LPCAT2	531.734305321	690.752384611
s_34702	MRPL3	551.307347235	114.356870082
s_46277	RASSF6	374.062578795	458.349713153
s_51763	SLC35E4	396.897794361	567.173186296
s_28827	KCNQ2	600.239952019	776.520037173
s_53114	SOWAHB	713.328638632	1003.38931169
s_62255	XKR4	457.791702536	441.749522335
s_49698	SEL1L3	1083.04165256	913.010495013
s_4368	ATP5G	268.585630704	380.882156
s_7123	C1orf116	146.797814353	191.824427235
s_36491	NDUFAF5	1024.32252682	525.67270925
s_22	A4GNT	1189.60599186	1446.06106685
s_13209	COX18	1375.54989004	1612.98520786
s_56558	THSD1	483.889091755	708.274808253
s_44400	PRR23	614.376037846	556.106392417
s_772	ACSM4	271.847804357	331.081583545
s_55476	TATDN	332.741712532	461.116411623
s_54827	SV2A	1063.46861064	865.976621028
s_30231	KRTAP17-1	733.989071763	971.111162878
s_28754	KCNK2	4231.039227	5099.94751255
s_35100	MST4	2830.47933896	3276.69322099
s_9042	CAPN	232.701720529	213.958014993
s_35837	MYRI	353.402145663	350.448472833
s_39537	OR8K1	585.016474975	944.366411003
s_825	ACTL6A	3092.54062236	1081.77910167
s_50184	SF3B3	529.559522886	282.203243913
s_25185	HEYL	219.65302592	314.481392727
s_1722	AJUB	1056.94426334	1020.91173533
s_56709	TINAGL1	135.923902178	104.212309027
s_61571	WAS	1215.70338108	1091.92366272
s_3948	ASIC1	693.755596718	568.095419119
s_3337	ARHGAP33	446.917790362	536.739503129
s_24159	GRK7	1139.58599586	1500.47280342
s_30546	LARS	773.13515559	37.8115457531
s_48449	RRM2	454.529528884	257.302957686
s_60336	UBTD1	638.298644629	679.685590732
s_24174	GRM3	1327.70467648	1272.68129608
s_34091	MLIP	781.834285329	621.584922868
s_4329	ATP2B3	697.01777037	486.01669785
s_37817	NR2C2	319.693017923	246.236163807
s_57774	TMEM71	951.467315248	993.244750635
s_10992	CDKN3	2213.92851868	2644.96373707
s_41024	PDE8	2510.78632104	2208.74761167
s_28127	ITLN1	620.90038515	593.91793817
s_11498	CFTR	221.827808355	372.582060591
s_43010	POLH	638.298644629	329.237117899
s_36360	NDC80	205.516940094	53.4895037482
s_49865	SEPT	295.77041114	273.903148504
s_23612	GPN1	3756.93665621	3798.67699895
s_56992	TMCO3	542.608217496	326.470419429
s_62980	ZFHX2	1532.13422535	1516.15076142
s_26899	IGHMBP2	1153.72208169	1014.45610557
s_39473	OR6P1	1018.88557073	1403.63835698
s_61737	WDR44	947.117750378	1482.95037978
s_35377	MUC1	142.448249483	141.101621957
s_46732	REEP6	635.036470977	867.821086674
s_54729	SUMO4	1303.78206969	1209.9694641
s_49353	SCN7A	1364.67597787	1731.95324206
s_17546	EFHC1	1722.4276884	1997.55629515
s_31146	LIPG	168.545638701	223.180343225
s_39910	P2RX7	331.654321315	288.658873676
s_24880	HCST	906.884275333	1405.48282263
s_62479	YTHDC1	1461.45379622	1189.68034199
s_47034	RGR	4182.10662222	4661.88692151
s_59065	TRIP11	337.091277402	193.668892882
s_27348	IL6R	842.728193505	712.885972369
s_44630	PSENEN	2041.03331511	1585.31822316
s_23023	GLP1R	509.986480973	605.906964872
s_20951	FGF6	730.72689811	601.295800756
s_65011	ZZZ3	540.433435061	99.6011449105
s_12591	CNFN	1574.54248283	1494.93940648
s_35762	MYO6	686.143858196	646.485209095
s_8455	C9orf170	328.392147663	176.14646924
s_19063	EYA4	1880.09941493	1754.08682981
s_63848	ZNF416	569.792997931	777.442269996
s_43159	POMT2	822.067760374	851.220895856
s_1537	AGPAT6	1308.13163456	1767.92032216
s_14001	CST5	719.852985936	850.298663032
s_11704	CHMP2A	167.458247484	51.6450381018
s_59224	TRPM7	1382.07423735	2151.56917663
s_39581	ORC	2435.75632703	2457.75047395
s_37638	NPEPPS	742.688201502	633.57394957
s_43731	PPP4R4	2150.85982807	2661.56392789
s_57290	TMEM165	1043.89556873	841.0763348
s_5970	BTN2A	827.504716461	1148.17986494
s_4190	ATG7	1845.30289597	1577.01812775
s_52902	SNX15	599.152560802	452.816316214
s_62806	ZCCHC24	677.444728456	724.874999071
s_16085	DLEC1	1056.94426334	1194.2915061
s_62429	YIPF	358.839101751	545.039598538
s_28933	KCTD8	885.136450985	1214.58062821
s_2452	ANKMY1	3569.90536681	3657.57537699
s_15314	DDHD1	872.087756376	1299.42604795
s_39381	OR5H15	208.779113746	149.401717366
s_22257	GAS1	670.920381152	822.631678335
s_21153	FKBP5	737.251245415	529.361640543
s_49146	SCAF4	3337.20364628	1567.79579952
s_10705	CDCP1	932.981664552	1067.0233765
s_21980	GABRA6	1076.51730525	1142.646468
s_33815	MGAT4	748.125157589	859.520991265
s_42923	PODN	4370.22530284	4084.56917415
s_57673	TMEM48	525.209958017	272.058682857
s_24483	GTSF1L	973.215139596	747.008586829
s_43896	PRDM11	776.397329242	1123.27957871
s_34026	MKL	685.056466978	529.361640543
s_47332	RIMS2	1056.94426334	1206.28053281
